root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
,,2021-04-28,2021-04-28,UNITIL CORP,UTL,0000755001,755001,"Hampton, New Hampshire",New Hampshire,001-08858,21861433,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-08858&action=getcompany,https://www.sec.gov/Archives/edgar/data/755001/000119312521135523/0001193125-21-135523-index.html,https://www.sec.gov/Archives/edgar/data/755001/000119312521135523/d180205dex991.htm
,,2021-07-15,2020-12-31,"Elevate.Money REIT I, Inc.",,0001819088,1819088,"Newport Beach, California",Maryland,24R-00348,211092486,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=24R-00348&action=getcompany,https://www.sec.gov/Archives/edgar/data/1819088/000110465921092560/0001104659-21-092560-index.html,https://www.sec.gov/Archives/edgar/data/1819088/000110465921092560/tm2122060d1_ex6-4.htm
,,2021-02-16,2020-09-30,Q&K INTERNATIONAL GROUP Ltd,XHG,0001769256,1769256,"Xuhui, Shanghai, China",[],001-39111,21640041,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39111&action=getcompany,https://www.sec.gov/Archives/edgar/data/1769256/000119312521045067/0001193125-21-045067-index.html,https://www.sec.gov/Archives/edgar/data/1769256/000119312521045067/d62143dex415.htm
,,2021-10-15,,GS Acquisition Holdings Corp II,MIR,0001809987,1809987,"New York, New York",Delaware,001-39352,211324599,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39352&action=getcompany,https://www.sec.gov/Archives/edgar/data/1809987/000119312521299065/0001193125-21-299065-index.html,https://www.sec.gov/Archives/edgar/data/1809987/000119312521299065/d222660d425.htm
,,2021-03-25,2020-12-31,NextDecade Corp.,NEXT,0001612720,161272,"Houston, Texas",Delaware,001-36842,21772399,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-36842&action=getcompany,https://www.sec.gov/Archives/edgar/data/161272/000143774921007153/0001437749-21-007153-index.html,https://www.sec.gov/Archives/edgar/data/161272/000143774921007153/next20201231_10k.htm
,,2021-04-29,2021-04-29,NextDecade Corp.,NEXT,0001612720,161272,"Houston, Texas",Delaware,001-36842,21871685,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-36842&action=getcompany,https://www.sec.gov/Archives/edgar/data/161272/000143774921010248/0001437749-21-010248-index.html,https://www.sec.gov/Archives/edgar/data/161272/000143774921010248/next20210415_ars.htm
,,2021-02-26,2021-01-01,EXPONENT INC,EXPO,0000851520,85152,"Menlo Park, California",Delaware,000-18655,21689019,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=000-18655&action=getcompany,https://www.sec.gov/Archives/edgar/data/85152/000156459021009433/0001564590-21-009433-index.html,https://www.sec.gov/Archives/edgar/data/85152/000156459021009433/expo-10k_20210101.htm
,,2021-06-08,,UR-ENERGY INC,URG,0001375205,1375205,"Littleton, Colorado",Canada (Federal Level),333-238324,211001332,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-238324&action=getcompany,https://www.sec.gov/Archives/edgar/data/1375205/000165495421006657/0001654954-21-006657-index.html,https://www.sec.gov/Archives/edgar/data/1375205/000165495421006657/tm2021258d2_424b5.htm
,,2021-02-24,2020-12-31,TELLURIAN INC. /DE/,"TELL, TELZ",0000061398,61398,"Houston, Texas",Delaware,001-05507,21668484,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-05507&action=getcompany,https://www.sec.gov/Archives/edgar/data/61398/000006139821000010/0000061398-21-000010-index.html,https://www.sec.gov/Archives/edgar/data/61398/000006139821000010/tell-20201231.htm
,,2021-05-27,2021-03-31,Zymergen Inc.,,0001645842,1645842,"Emeryville, California",Delaware,001-40354,21968317,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-40354&action=getcompany,https://www.sec.gov/Archives/edgar/data/1645842/000164584221000013/0001645842-21-000013-index.html,https://www.sec.gov/Archives/edgar/data/1645842/000164584221000013/zy-20210331.htm
